THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
banquet,Hôtel pour banquet,Hôtels pour banquets,Hôtel,Hôtels,property_type,Hôtels_Banquets
bar,Hôtel avec bar,Hôtels avec bars,Hôtel,Hôtels,property_type,Hôtels_Avec_Bar
barbecue,Hôtel près de barbecue,Hôtels près de barbecue,Hôtel,Hôtels,property_type,Hôtels_barbecue
bargain,Remise hôtel,Remise hôtels,Hôtel,Hôtels,property_type,Remise_Hôtels
bargain|hotel,Remise hôtel,Remise hôtels,Hôtel,Hôtels,property_type,Remise_Hôtels
baseball,Hôtel pour les amateurs de baseball,Hôtels pour les amateurs de baseball,Hôtel,Hôtels,property_type,Hôtels_Baseball
basketball,Hôtel pour les amateurs de basketball,Hôtels pour les amateurs de basketball,Hôtel,Hôtels,property_type,HôtelBasketball
beach,Hôtel face à la mer,Hôtels face à la mer,Hôtel,Hôtels,property_type,HôtelFaceMer
beach|resort,Complexe touristique près des plages ,Complexes touristiques près des plages,Complexe,Complexes,property_type,Complexes_Plage
beachview,Hôtel avec vue sur la plage,Hôtels avec vue sur la plage,Hôtel,Hôtels,property_type,HôtelsVuePlage
bedbreakfast|cheap,Chambre d'hôte pas chère,Chambres d'hôtes pas chères,Chambre d'hôte,Chambres d'hôtes,property_type,Chambres_Hôtes
beer,Hôtel proche d’une brasserie,Hôtels proches d’une brasserie,Hôtel,Hôtels,property_type,Hôtel_pr_brass
benefit,Hôtel avec  avantage,Hôtels avec  avantage,Hôtel,Hôtels,property_type,Hôtels_Avantage
benefits,Hôtel avec avantages,Hôtels avec  avantages,Hôtel,Hôtels,property_type,Hôtels_Avantage
best|deal|hotel,Offre meilleur hôtel,Offres meilleurs hôtels,Hôtel,Hôtels,property_type,OffresMeilHôtel
best|familyfriendly,Meilleur hôtel pour les familles,Meilleurs hôtels pour les familles,Hôtel,Hôtels,property_type,Meil_Hôtl_Famil
best|resort,Meilleur complexe touristique,Meilleurs complexes touristiques,Complexe,Complexes,property_type,Meil_Complexes
best|stay,Meilleur séjour à l'hôtel,Meilleurs séjours à l'hôtel,Hôtel,Hôtels,property_type,Meill_Séj_Hôtel
biking,Hôtel près de cyclisme,Hôtels près de cyclisme,Hôtel,Hôtels,property_type,Hôtels_Cyclisme
birdwatching,Hôtel proche d’un site d’observation d’oiseaux,Hôtels proches d’un site d’observation d’oiseaux,Hôtel,Hôtels,property_type,Hôtel_Oiseaux
blacksandbeach,Hôtel proche d’une plage de sable noir,Hôtels proches d’une plage de sable noir,Hôtel,Hôtels,property_type,PlageSableNoir
booking,Réservation d'hôtel,Réservations d'hôtels,Hôtel,Hôtels,property_type,Réserver_Hôtels
booking|hotel,Réservation d'hôtel,Réservations d'hôtels,Hôtel,Hôtels,property_type,Hôtels_Résas
booking|hotel|lastminute,Hôtel de dernière minute,Hôtels de dernière minute,Hôtel,Hôtels,property_type,Hôtels_Dern_Min
booking|hotel|suites,Suite d’hôtel,Suites d’hôtel,Suite d’hôtel,Suites d’hôtel,property_type,Suites_Hôtel
bowling,Hôtel près de piste de bowling,Hôtels près de pistes de bowling,Hôtel,Hôtels,property_type,Hôtels_Bowling
breakfast,Hôtel avec petit-déjeuner,Hôtels avec petit-déjeuner,Hôtel,Hôtels,property_type,Hôtel_Pdj
budget,Hôtel économique,Hôtels économiques,Hôtel,Hôtels,property_type,Hôtels_Éco
budget|hotel,Hôtel économique,Hôtels économiques,Hôtel,Hôtels,property_type,Hôtels_Éco
buffet,Hôtel avec buffet,Hôtels avec buffets,Hôtel,Hôtels,property_type,Hôtels_Buffet
bungeejumping,Hôtel près de saut à l’élastique,Hôtels près de saut à l’élastique,Hôtel,Hôtels,property_type,HôtelSautÉlasti
business,Hôtel pour voyage d’affaires,Hôtels pour voyages d’affaires,Hôtel,Hôtels,property_type,Hôtels_Affaires
cabin,Cabane,Cabanes,Cabane,Cabanes,property_type,Cabanes
cafes,Hôtel avec café-bar,Hôtels avec cafés-bars,Hôtel,Hôtels,property_type,Hôtel_avec_Café
camping,Camping,Camping,Camping,Camping,property_type,Camping
canoeing,Hôtel près de canoë,Hôtels près de canoës,Hôtel,Hôtels,property_type,Hôtels_Canoë
capsule,Hôtel capsule,Hôtels capsules,Hôtel,Hôtels,property_type,Hôtels_Capsules
caravanpark,Camping,Campings,Camping,Campings,property_type,Campings_Carav
casino,Hôtel casino,Hôtels casinos,Hôtel,Hôtels,property_type,Hôtels_casinos
castle,Hôtel près de château,Hôtels près de châteaux,Hôtel,Hôtels,property_type,Hôtels_Châteaux
catering,Hôtel avec restauration,Hôtels avec restauration,Hôtel,Hôtels,property_type,Hôtel_Pdj
cathedral,Hôtel proche d’une cathédrale,Hôtels proches d’une cathédrale,Hôtel,Hôtels,property_type,HôtelsCathédral
caveexploring,Hôtel près de grottes,Hôtels près de grottes,Hôtel,Hôtels,property_type,Hôtels_Grottes
central,Hôtel central,Hôtels centraux,Hôtel,Hôtels,property_type,Hôtels_centraux
chain,Hôtel appartenant à une chaine,Hôtels appartenant à une chaine,Hôtel,Hôtels,property_type,Hôtels_Chaîne
chalet,Chalet,Chalets,Chalet,Chalets,property_type,Chalets
cheap,Hôtel pas cher,Hôtels pas chers,Hôtel,Hôtels,property_type,Hôtels_Abordab
cheap|deal|hotel,Offre hôtel pas cher,Offres hôtel pas cher,Hôtel,Hôtels,property_type,OffresHôtelAbor
cheap|hostel,Auberge bon marché,Auberges bon marché,Auberge,Auberges,property_type,Auberge_Abordab
cheap|hotel,Hôtel pas cher,Hôtels pas chers,Hôtel,Hôtels,property_type,Hôtels_Abordab
cheap|hotel|lastminute,Hôtel de dernière minute pas cher,Hôtels de dernière minute pas chers,Hôtel,Hôtels,property_type,HôtDernMinAbor
cheap|hotel|near,Hôtel proche pas cher,Hôtels proches pas chers,Hôtel,Hôtels,property_type,Hôtels_Abordab
cheap|hotel|nearme,Hôtel pas cher autour de vous,Hôtels pas chers autour de vous,Hôtel,Hôtels,property_type,HôtelAborAutour
cheap|hotel|nearme|suites,Suite d’hôtel pas cher autour de vous,Suites d’hôtel pas cher autour de vous,Suite d’hôtel,Suites d’hôtel,property_type,SuiteAborAutour
cheap|hotel|suites,Suite d’hôtel pas cher,Suites d’hôtel pas cher,Suite d’hôtel,Suites d’hôtel,property_type,SuiteHôtelAbor
cheap|motel,Motel pas cher,Motels pas chers,Motel,Motels,property_type,Motels_Abordab
cheap|resort,Complexe touristique pas cher,Complexes touristiques pas chers,Complexe touristique,Complexes touristiques,property_type,Complex_Abord
