THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
adventure,Hotel for the Adventurous,Hotels for the Adventurous,Hotel,Hotels,property_type,Hotel_Adventure
airporttransportation,Hotel with Airport Transportation,Hotels with Airport Transportation,Hotel,Hotels,property_type,Hotel_Air_Trans
aquarium,Hotel near Aquarium,Hotels near Aquariums,Hotel,Hotels,property_type,Hotel_Aquarium
arcade,Hotel near Arcade,Hotels near Arcades,Hotel,Hotels,property_type,Hotel_Arcade
architecture,Architecturally Notable Hotel,Architecturally Notable Hotels ,Hotel,Hotels,property_type,Hotel_Architect
birdwatching,Hotel near Birdwatching,Hotels near Birdwatching,Hotel,Hotels,property_type,Hotel_Birdwatch
breakfast,Hotel with Breakfast,Hotels with Breakfast,Hotel,Hotels,property_type,Hotel_Breakfast
freebreakfast,Hotel with Free Breakfast,Hotels with Free Breakfast,Hotel,Hotels,property_type,Hotel_Breakfast
catering,Hotel which Caters,Hotels which Cater,Hotel,Hotels,property_type,Hotel_Catering
babysitting,Hotel with Babysitting,Hotels with Babysitting,Hotel,Hotels,property_type,Hotel_Childcare
chocolate,Hotel near Chocolateries,Hotels near Chocolateries,Hotel,Hotels,property_type,Hotel_Chocolate
christmas,Hotel for Christmas Travel,Hotels for Christmas Travel,Hotel,Hotels,property_type,Hotel_Christmas
concierge,Hotel with Concierge,Hotels with Concierges,Hotel,Hotels,property_type,Hotel_Concierge
coupon|hotel,Hotel Coupon,Hotel Coupons,Hotel,Hotels,property_type,Hotel_Coupons
deal,Hotel Deal,Hotel Deals,Hotel,Hotels,property_type,Hotel_Deals
deals,Hotel Deal,Hotel Deals,Hotel,Hotels,property_type,Hotel_Deals
hotel_deal,Hotel Deal,Hotel Deals,Hotel,Hotels,property_type,Hotel_Deals
deal|hotel,Hotel Deal,Hotel Deals,Hotel,Hotels,property_type,Hotel_Deals
discount,Hotel Discount,Hotel Discounts,Hotel,Hotels,property_type,Hotel_discount
discount|hotel,Hotel Discount,Hotel Discounts,Hotel,Hotels,property_type,Hotel_discount
entertainment,Hotel near Entertainment,Hotels near Entertainment,Hotel,Hotels,property_type,Hotel_Entertain
familybeach,Hotel near Family-Friendly Beach,Hotels near Family-Friendly Beaches,Hotel,Hotels,property_type,Hotel_Fam_Beach
finder,Hotel,Hotel Finder,Hotel,Hotels,property_type,Hotel_Finder
fireplace,Hotel with Fireplaces,Hotels with Fireplaces,Hotel,Hotels,property_type,Hotel_Fireplace
freeparking,Hotel with Free Parking,Hotels with Free Parking,Hotel,Hotels,property_type,Hotel_Free_Park
freeinternet,Hotel with Free Internet,Hotels with Free Internet,Hotel,Hotels,property_type,Hotel_Free_Wifi
freewifi,Hotel with Free Wifi,Hotels with Free Wifi,Hotel,Hotels,property_type,Hotel_Free_Wifi
hottub,Hotel with Hot Tub,Hotels with Hot Tubs,Hotel,Hotels,property_type,Hotel_Hot_Tub
iceskating,Hotel near Ice Skating,Hotels near Ice Skating,Hotel,Hotels,property_type,Hotel_Ice_Skate
kitchen,Hotel with Kitchen,Hotels with Kitchens,Hotel,Hotels,property_type,Hotel_Kitchen
location,Hotel,Hotel Locations,Hotel,Hotels,property_type,Hotel_Locations
map,Hotel on a Map,Hotels on Maps,Hotel,Hotels,property_type,Hotel_Map
microwave,Hotel with Microwave,Hotels with Microwaves,Hotel,Hotels,property_type,Hotel_Microwave
monuments,Hotel near Monuments,Hotels near Monuments,Hotel,Hotels,property_type,Hotel_Monuments
mountain,Hotel near Mountains,Hotels near Mountains,Hotel,Hotels,property_type,Hotel_Mountains
beer,Hotel near Beer,Hotels near Beer,Hotel,Hotels,property_type,Hotel_near_Beer
golf,Hotel near Golf Course,Hotels near Golf Courses,Hotel,Hotels,property_type,Hotel_near_Golf
offer,Hotel Offer,Hotel Offers,Hotel,Hotels,property_type,Hotel_Offers
parking,Hotel with Parking,Hotels with Parking,Hotel,Hotels,property_type,Hotel_Parking
pebblebeach,Hotel near Pebble Beaches,Hotels near Pebble Beaches,Hotel,Hotels,property_type,Hotel_Peb_Beach
point,Hotel,Hotel Points,Hotel,Hotels,property_type,Hotel_Points
price,Hotel,Hotel Prices,Hotel,Hotels,property_type,Hotel_Prices
promo,Hotel Promo,Hotel Promos,Hotel,Hotels,property_type,Hotel_Promos
ranking,Hotel,Hotel Rankings,Hotel,Hotels,property_type,Hotel_Rankings
rating,Hotel,Hotel Ratings,Hotel,Hotels,property_type,Hotel_Ratings
review,Hotel,Hotel Reviews,Hotel,Hotels,property_type,Hotel_Reviews
riverview,Hotel with River Views,Hotels with River Views,Hotel,Hotels,property_type,Hotel_RiverView
search,Hotel Search,Hotel Search,Hotel,Hotels,property_type,Hotel_Search
skydiving,Hotel near Skydiving,Hotels near Skydiving,Hotel,Hotels,property_type,Hotel_Skydiving
snowboarding,Hotel near Snowboarding,Hotels near Snowboarding,Hotel,Hotels,property_type,Hotel_Snowboard
stay,Hotel Stay,Hotel Stays,Hotel,Hotels,property_type,Hotel_Stays
hotel|suites,Hotel Suite,Hotel Suites,Hotel Suite,Hotel Suites,property_type,Hotel_Suites
booking|hotel|suites,Hotel Suite,Hotel Suites,Hotel Suite,Hotel Suites,property_type,Hotel_Suites
themepark,Hotel near Themeparks,Hotels near Themeparks,Hotel,Hotels,property_type,Hotel_Themepark
volcanoes,Hotel near Volcanoes,Hotels near Volcanoes,Hotel,Hotels,property_type,Hotel_Volcanoes
waterskiing,Hotel near Water Skiing,Hotels near Water Skiing,Hotel,Hotels,property_type,Hotel_Water_Ski
waterfalls,Hotel near Waterfalls,Hotels near Waterfalls,Hotel,Hotels,property_type,Hotel_Waterfall
waterpark,Hotel near Waterparks,Hotels near Waterparks,Hotel,Hotels,property_type,Hotel_Waterpark
cafes,Hotel with Cafe,Hotels with Cafes,Hotel,Hotels,property_type,Hotel_with_Cafe
fitnesscenter,Hotel with Fitness Center,Hotels with Fitness Centers,Hotel,Hotels,property_type,Hotel_with_Gym
petfriendly,Pet-Friendly Hotel,Pet-Friendly Hotels,Hotel,Hotels,property_type,Hotel_with_Pets
pet_friendly,Pet-Friendly Hotel,Pet-Friendly Hotels,Hotel,Hotels,property_type,Hotel_with_Pets
pool,Hotel near Pool,Hotels with Pools,Hotel,Hotels,property_type,Hotel_with_Pool
view,Hotel with View,Hotels with Views,Hotel,Hotels,property_type,Hotel_with_View
accommodation|hotel,Hotel Accommodation,Hotel Accommodation,Hotel Accommodation,Hotel Accommodation,property_type,HotelAccommodat
babyshower,Hotel for Baby Showers,Hotels for Baby Showers,Hotel,Hotels,property_type,HotelBabyShower
basketball,Hotel for Basketball Fans,Hotels for Basketball Fans,Hotel,Hotels,property_type,HotelBasketball
bungeejumping,Hotel near Bungee Jumping,Hotels near Bungee Jumping,Hotel,Hotels,property_type,HotelBungeeJump
coffeemaker,Hotel with Coffee Maker,Hotels with Coffee Makers,Hotel,Hotels,property_type,HotelCoffMaker
comparison,Hotel,Hotels,Hotel,Hotels,property_type,HotelComparison
conferencecenter,Hotel with Conference Center,Hotels with Conference Centers,Hotel,Hotels,property_type,HotelConfCenter
ecotourism,Hotel near Ecotourism,Hotels near Ecotourism,Hotel,Hotels,property_type,HotelEcotourism
electrickettle,Hotel with Electric Kettle,Hotels with Electric Kettles,Hotel,Hotels,property_type,HotelElecKettle
excursions,Hotel with Excursions,Hotels with Excursions,Hotel,Hotels,property_type,HotelExcursions
hotsprings,Hotel near Hot Springs,Hotels near Hot Springs,Hotel,Hotels,property_type,HotelHotSprings
indoorpool,Hotel with Indoor Pool,Hotels with Indoor Pool,Hotel,Hotels,property_type,HotelIndoorPool
naturalparks,Hotel near Natural Parks,Hotels near Natural Parks,Hotel,Hotels,property_type,HotelNaturePark
northernlights,Hotel with Northern Light Views,Hotels with Northern Light Views,Hotel,Hotels,property_type,HotelNorthLight
promotion,Hotel Promotion,Hotel Promotions,Hotel,Hotels,property_type,HotelPromotions
publictransport,Hotel near Public Transport,Hotels near Public Transport,Hotel,Hotels,property_type,HotelPublicTran
recreation,Hotel near Recreation,Hotels near Recreation,Hotel,Hotels,property_type,HotelRecreation
reservation,Hotel Reservation,Hotel Reservations,Hotel,Hotels,property_type,HotelReserve
restaurant,Hotel with Restaurant,Hotels with Restaurants,Hotel,Hotels,property_type,HotelRestaurant
rockybeach,Hotel near Rocky Beaches,Hotels near Rocky Beaches,Hotel,Hotels,property_type,HotelRockyBeach
rollerskating,Hotel near Rollerskating,Hotels near Rollerskating,Hotel,Hotels,property_type,HotelRollSkate
roomservice,Hotel with Room Service,Hotels with Room Service,Hotel,Hotels,property_type,HotelRoomServe
hotel,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
hotels,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
downtown,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
airport,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
dancing,Hotel near Dancing,Hotels near Dancing,Hotel,Hotels,property_type,Hotels
booking,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
airbnb,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
ctrip,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
priceline,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
chinatown,Hotel,Hotels,Hotel,Hotels,property_type,Hotels
